award_key,award_id,generated_award_id,award_type,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,detected_by,sources,override_status
CONT_AWD_80NSSC25FA473_8000_80NSSC22DA003_8000,80NSSC25FA473,CONT_AWD_80NSSC25FA473_8000_80NSSC22DA003_8000,contract,"Castro & Company, LLC",2026-08-11,F,P00001,-40647.00,The purpose Of task order #74 is to acquire contract audit support services in support Of the NASA headquarters office Of procurement in accordance with the attached Statement Of Work (SOW).,action_code,api,
CONT_AWD_80NSSC26P0662_8000_-NONE-_-NONE-,80NSSC26P0662,CONT_AWD_80NSSC26P0662_8000_-NONE-_-NONE-,contract,Xenturis LLC,2026-08-11,F,P00002,0.00,Marotta controls proposal #46059 for mv524lt & mv172 part numbers 284752-9_23 & 285234-9_21.,action_code,api,
CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,NNG09FA40C,CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,contract,LOCKHEED MARTIN CORPORATION,2026-08-03,F,117,0.00,"THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE THE PARTIAL TERMINATION SETTLEMENT AND REDUCE THE CONTRACT VALUE ACCORDINGLY. THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) IS A NASA SMALL EXPLORER MISSION THAT OBSERVES THE SUN'S CHROMOSPHERE AND TRANSITION REGION, ALSO KNOWN AS THE INTERFACE REGION. IRIS IS DESIGNED TO STUDY HOW ENERGY AND PLASMA MOVE WITHIN THIS REGION, WHICH HELPS US UNDERSTAND HOW THE SUN'S CORONA IS HEATED AND HOW SOLAR ACTIVITY IMPACTS EARTH'S SPACE ENVIRONMENT. THIS MISSION FILLS A CRUCIAL GAP IN OUR ABILITY TO ADVANCE SUN-EARTH CONNECTION STUDIES BY TRACING THE FLOW OF ENERGY AND PLASMA INTO THE CORONA AND HELIOSPHERE FOR WHICH NO SUITABLE OBSERVATIONS EXIST.",both,api;mirror,descoped
CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,80GSFC23CA001,CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,contract,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2026-07-30,F,P00013,9658.99,TERMINATE FOR CONVENIENCE AGREEMENT - SOCIOECONOMIC DATA AND APPLICATIONS CENTER (SEDAC) SMD DIRECTORATE,both,api;mirror,
CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,80GSFC23CA032,CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,contract,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,2026-07-30,F,P00012,-9633.44,GEOSPACE DYNAMICS CONSTELLATION (GDC) MODULAR SPECTROMETER FOR ATMOSPHERE AND IONOSPHERE CHARACTERIZATION (MOSAIC) INSTRUMENT INVESTIGATION,action_code,api;mirror,
CONT_AWD_80LARC21F0053_8000_80LARC20D0007_8000,80LARC21F0053,CONT_AWD_80LARC21F0053_8000_80LARC20D0007_8000,contract,Cornell Technical Services LLC,2026-07-10,C,P00005,-757.47,Rbi termination settlement proposal support,description,api,
CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,80NSSC26P0502,CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,contract,DEVGLOBAL PARTNERS LLC,2026-07-08,F,P00001,-98168.00,FACILITATION AND LOGISTICAL COORDINATION OF THE 2026 SMD DATA REPOSITORIES WORKSHOP,action_code,api;mirror,
CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,80NM0019F0075,CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,2026-06-17,M,P00009,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - MARS TO MOON ENGINEERING SUPPORT FOR XYZ DIRECTORATE,description,api;mirror,
CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,80GRC025CA013,CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,contract,APACHE INNOVATIONS JV,2026-06-15,F,P00002,0.00,"REMOVAL OF DRD IAW EO #14222 - GLENN LOGISTICS AND METROLOGY (GLAM) - THE PURPOSE OF THIS CONTRACT IS TO PROVIDE LOGISTICS SERVICES, STOCK PURCHASES, AND METROLOGY/CALIBRATION SERVICES TO NASA GRC. SUPPORT TO ALL DIRECTORATES AT NASA GRC.",action_code,api;mirror,
CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,80NSSC26P0347,CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,contract,MINCO PRODUCTS INC,2026-05-28,F,P00001,-13199.00,PURCHASE OF CUSTOMIZED HEATERS,action_code,api;mirror,
CONT_AWD_80NSSC25PB270_8000_-NONE-_-NONE-,80NSSC25PB270,CONT_AWD_80NSSC25PB270_8000_-NONE-_-NONE-,contract,LINDE ADVANCED MATERIAL TECHNOLOGIES INC.,2026-05-22,F,P00001,-18775.00,"ALLOY Z, CHEM/SIZING POWDER",action_code,api;mirror,
CONT_IDV_80NSSC24AA010_8000,80NSSC24AA010,CONT_IDV_80NSSC24AA010_8000,idv,"BRYCE SPACE AND TECHNOLOGY, LLC",2026-05-21,F,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPSS FOR NASA ADMINISTRATIVE SUITE.,both,api;mirror,
ASST_NON_80NSSC24K0113_080,80NSSC24K0113,ASST_NON_80NSSC24K0113_080,grant,UNIVERSITY OF ARKANSAS SYSTEM,2026-05-12,D,P00004,-149998.00,TERMINATION FOR CONVENIENCE AGREEMENT - HERE TO OBSERVE UAB SUPPORT FOR SMD/ESD,description,api;mirror,
CONT_AWD_80KSC019C0013_8000_-NONE-_-NONE-,80KSC019C0013,CONT_AWD_80KSC019C0013_8000_-NONE-_-NONE-,contract,"BECHTEL NATIONAL, INC.",2026-05-06,F,P00180,0.00,DESIGN AND CONSTRUCTION OF NASA SPACE LAUNCH SYSTEM (SLS) MOBILE LAUNCHER 2 (ML2).,action_code,api;mirror,
CONT_AWD_80NSSC26P0289_8000_-NONE-_-NONE-,80NSSC26P0289,CONT_AWD_80NSSC26P0289_8000_-NONE-_-NONE-,contract,AANTILIA LLC,2026-05-04,F,P00001,-26425.00,INSTRUMENT & LAB EQPT - 16 INCH DIAMETER FLAT MIRROR,action_code,api;mirror,
CONT_AWD_80NM0018F0566_8000_80NM0018D0004_8000,80NM0018F0566,CONT_AWD_80NM0018F0566_8000_80NM0018D0004_8000,contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,2026-05-01,M,P00029,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - OFFICE OF CHIEF TECHNOLOGIST (OCT) STRATEGIC INTEGRATION FOR SMD DIRECTORATE,description,api;mirror,
ASST_NON_80NSSC25K7036_080,80NSSC25K7036,ASST_NON_80NSSC25K7036_080,grant,UNIVERSITY OF RICHMOND,2026-04-30,D,P00003,-248049.00,TERMINATION FOR CONVENIENCE AGREEMENT - BUILDING CAPACITY FOR RESILIENCY EDUCATION AND ENVIRONMENTAL JUSTICE ACROSS THE CHANGING INDIGENOUS LANDSCAPES OF VIRGINIA - SUPPORT FOR SMD DIRECTORATE,description,api;mirror,
CONT_AWD_80NSSC26P0407_8000_-NONE-_-NONE-,80NSSC26P0407,CONT_AWD_80NSSC26P0407_8000_-NONE-_-NONE-,contract,PRIME PROPERTY SCANS LLC,2026-04-21,F,P00001,-26000.00,SPIRAL TECHNOLOGY SOFTWARE SUPPORT RENEWAL,action_code,api;mirror,
CONT_AWD_80HQTR23F0042_8000_80HQTR21D0004_8000,80HQTR23F0042,CONT_AWD_80HQTR23F0042_8000_80HQTR21D0004_8000,contract,"ICF INCORPORATED, L.L.C.",2026-04-14,F,P00001,0.00,THIS TASK ORDER #4 IS HEREBY ISSUED TO PROVIDE SUPPORT FOR U.S. PARTICIPATION IN AN ALL-HANDS MEETING FOR THE 5TH NATIONAL CLIMATE ASSESSMENT IN ACCORDANCE THE ATTACHED STATEMENT OF WORK,action_code,api;mirror,
CONT_AWD_80HQTR24F0012_8000_80HQTR21D0004_8000,80HQTR24F0012,CONT_AWD_80HQTR24F0012_8000_80HQTR21D0004_8000,contract,"ICF INCORPORATED, L.L.C.",2026-04-14,F,P00004,0.00,SUPPORT FOR THE TECHNICAL SUPPORT UNIT FOR THE SEVENTH ASSESSMENT OF THE INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE: WORKING GROUP III,action_code,api;mirror,
CONT_AWD_80HQTR24F0037_8000_80HQTR21D0004_8000,80HQTR24F0037,CONT_AWD_80HQTR24F0037_8000_80HQTR21D0004_8000,contract,"ICF INCORPORATED, L.L.C.",2026-04-14,F,P00003,0.00,TO PROVIDE A SCOPE FOR SPECIALIZED SUPPORT SERVICES FOR TWO CLIMATE SERVICES PERSONNEL TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO) FOR CLIMATE SERVICES.,action_code,api;mirror,still_terminated
CONT_AWD_80HQTR25F7019_8000_80HQTR21D0004_8000,80HQTR25F7019,CONT_AWD_80HQTR25F7019_8000_80HQTR21D0004_8000,contract,"ICF INCORPORATED, L.L.C.",2026-04-14,F,P00002,0.00,"ASSIST WITH PLANNING ACTIVITIES INVOLVING A LARGE INTERNATIONAL AUTHOR TEAM COORDINATE IN-PERSON AND REMOTE MEETINGS, TRACK THE STATUS OF AUTHORS' WORK",action_code,api;mirror,
CONT_AWD_80NM0024F0047_8000_80NM0018D0004_8000,80NM0024F0047,CONT_AWD_80NM0024F0047_8000_80NM0018D0004_8000,contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,2026-04-13,M,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - ADVANCING VIETNAM'S MARINE SPATIAL PLANNING FOR OFFSHORE WIND ENERGY DEVELOPMENT (82-222737),description,api;mirror,
CONT_AWD_80MSFC21CA001_8000_-NONE-_-NONE-,80MSFC21CA001,CONT_AWD_80MSFC21CA001_8000_-NONE-_-NONE-,contract,LOCKHEED MARTIN CORP,2026-04-03,F,P00019,0.00,"TIPPING POINT CRYOGENIC DEMONSTRATION MISSION (CDM) ESTABLISH THE FINAL SETTLEMENT BETWEEN THE GOVERNMENT AND CONTRACTOR RESULTING FROM THE TERMINATION FOR CONVENIENCE OF CONTRACT NO. 80MSFC21CA001 ISSUED ON AUGUST 8, 2024.",both,api;mirror,
CONT_AWD_80HQTR22F0076_8000_80HQTR21D0004_8000,80HQTR22F0076,CONT_AWD_80HQTR22F0076_8000_80HQTR21D0004_8000,contract,"ICF INCORPORATED, L.L.C.",2026-03-18,F,P00010,0.00,SUPPORT FOR U.S.PARTICIPATION IN THEINTERGOVERNMENTALPANEL ON CLIMATECHANGE AND RELATEDINTERNATIONALASSESSMENTS,action_code,api;mirror,still_terminated
CONT_AWD_80HQTR22F0109_8000_80HQTR21D0004_8000,80HQTR22F0109,CONT_AWD_80HQTR22F0109_8000_80HQTR21D0004_8000,contract,"ICF INCORPORATED, L.L.C.",2026-03-18,F,P00005,0.00,SPECIALIZED SUPPORT SERVICES FOR A CARBON CYCLE INTERAGENCY WORKING GROUP (CCIWG) COORDINATOR TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO).,action_code,api;mirror,still_terminated
CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000,80LARC24F0039,CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000,contract,THE AEROSPACE CORPORATION,2026-03-17,M,P00002,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - NASA ENGINEERING AND SAFETY CENTER'S (NESC) TEAM TO GUISE FUTURE HUMAN-RATED SPACECRAFT PROVIDERS ON DESIGNING AND VERIFYING A SPACECRAFT FIRE SYSTEM.,description,api;mirror,
CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000,80LARC25F7003,CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000,contract,THE AEROSPACE CORPORATION,2026-03-17,M,P00002,0.00,TERMINATION FOR CONVENIENCE AGREEMENT- NASA ENGINEERING AND SAFETY CENTER'S (NESC) ENVIRONMENTAL CONTROL AND LIFE SUPPORT (ECLSS) TECHNICAL DISCIPLINE TEAM (TDT).,description,api;mirror,
CONT_IDV_80HQTR21D0004_8000,80HQTR21D0004,CONT_IDV_80HQTR21D0004_8000,idv,"ICF INCORPORATED, L.L.C.",2026-03-03,F,P00031,0.00,SUPPORT FOR THE UNITED STATES .GLOBAL CHANGE RESEARCH PROGRAM (USGCRP).NATIONAL COORDINATION OFFICE (NCO). T4C AGREEMENT FINALIZATION FOR EARTH SCIENCES GROUP.,both,api;mirror,
CONT_AWD_80NSSC25PB602_8000_-NONE-_-NONE-,80NSSC25PB602,CONT_AWD_80NSSC25PB602_8000_-NONE-_-NONE-,contract,FED CREW INC,2026-02-23,F,P00002,-48900.00,SPHERICAL HEA ALLOY POWDER,action_code,api;mirror,
CONT_AWD_80NSSC25PA844_8000_-NONE-_-NONE-,80NSSC25PA844,CONT_AWD_80NSSC25PA844_8000_-NONE-_-NONE-,contract,VOLAIRE ENERGY LLC,2026-02-20,F,P00001,0.00,GEER MASS FLOW METER,action_code,api;mirror,
CONT_AWD_80NSSC26P0009_8000_-NONE-_-NONE-,80NSSC26P0009,CONT_AWD_80NSSC26P0009_8000_-NONE-_-NONE-,contract,SILVERBACK ASSOCIATES LLC,2026-02-18,F,P00001,-14184.00,BARD AC UNIT,action_code,api;mirror,
CONT_AWD_80GSFC22CA012_8000_-NONE-_-NONE-,80GSFC22CA012,CONT_AWD_80GSFC22CA012_8000_-NONE-_-NONE-,contract,THE REGENTS OF THE UNIVERSITY OF COLORADO,2026-02-12,F,P00009,0.00,INTERDISCIPLINARY SCIENTIST SUPPORT FOR THE GEOSPACE DYNAMICS CONSTELLATION (GDC) PROGRAM.,action_code,api;mirror,
CONT_AWD_80NSSC23FB052_8000_80NSSC23DA002_8000,80NSSC23FB052,CONT_AWD_80NSSC23FB052_8000_80NSSC23DA002_8000,contract,"BRYCE SOLUTIONS, LLC",2026-02-10,F,P00017,0.00,"P00017 - TERMINATION - NASA ENTERPRISE-WIDE HUMAN CAPITAL SUPPORT SERVICES (NEHCSS) BRYCE SOLUTIONS, LLC CONTRACT #80NSSC23DA002 -TASK ORDER 80NSSC23FB052 LEADERSHIP AND EXECUTIVE LEVEL ONE-ON-ONE COACHING SERVICES",action_code,api;mirror,
CONT_AWD_80GSFC22CA013_8000_-NONE-_-NONE-,80GSFC22CA013,CONT_AWD_80GSFC22CA013_8000_-NONE-_-NONE-,contract,THE AEROSPACE CORPORATION,2026-02-09,F,P00006,0.00,INTERDISCIPLINARY SCIENTIST SUPPORT FOR THE GEOSPACE DYNAMICS CONSTELLATION (GDC) PROGRAM.,action_code,api;mirror,
CONT_AWD_80GSFC22CA011_8000_-NONE-_-NONE-,80GSFC22CA011,CONT_AWD_80GSFC22CA011_8000_-NONE-_-NONE-,contract,UNIVERSITY OF TEXAS AT ARLINGTON,2026-01-30,F,P00009,0.00,INTERDISCIPLINARY SCIENTIST SUPPORT FOR THE GEOSPACE DYNAMICS CONSTELLATION (GDC) PROGRAM.,action_code,api;mirror,
CONT_AWD_80MSFC21C0010_8000_-NONE-_-NONE-,80MSFC21C0010,CONT_AWD_80MSFC21C0010_8000_-NONE-_-NONE-,contract,NORTHROP GRUMMAN SYSTEMS CORPORATION,2025-09-30,F,P00042,0.00,MARS ASCENT PROPULSION SYSTEM (MAPS),action_code,api;mirror,
