Source,District,Recipient,Award ID,Latest Modification Number,Latest Modification Date,Start Date,End Date,Award Amount,Total Outlays,Description,Business Categories,URL
DOGE,WV-02,"A3l Federal Works,llc",80GSFC24CA024,P00011,2025-12-04,2024-07-08,2026-07-07,814288.51,613299.81,"Status: TERMINATED. Reported savings: $1,423,496.00. DOGE Action Date: 4/14/2025. Knowledge management, events and communications supports (KMECS) ivv contract","8a_program_participant, category_business, historically_underutilized_business_firm, limited_liability_corporation, self_certified_small_disadvanted_business, small_business, sole_proprietorship, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-/
NASAGrants,GA-05,"Agnes Scott College, Inc.",80NSSC23M0123,P00002,2025-06-20,2023-08-01,2025-07-31,494824.00,486609.43,"Approved/ Awarded - Administrative | Administrative - Change Pop End Date, Administrative - Decrease. Alumnae network & career resources program ? stem support anchored at asc","educational_institution, higher_education, minority_owned_business, nonprofit, other_minority_owned_business, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23M0123_080/
FPDS,AK-00,Alutiiq Commercial Enterprises LLC,80LARC19F0127,P00003,2025-04-10,2019-09-06,2022-02-28,0.00,0.00,Reason for modification: terminate for convenience (complete or partial). general services in support of the revitalization office.,"8a_program_participant, alaskan_native_corporation_owned_firm, category_business, corporate_entity_not_tax_exempt, corporate_entity_tax_exempt, limited_liability_corporation, minority_owned_business, native_american_owned_business, other_than_small_business, self_certified_small_disadvanted_business, small_business, special_designations, tribally_owned_firm, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80LARC19F0127_8000_80LARC18C0003_8000/
NASAGrants,WI-04,Alverno College,80NSSC23M0119,P00002,2025-06-20,2023-08-01,2025-07-31,498076.00,385690.95,"Approved/ Awarded - Administrative | Administrative - Change Pop End Date, Administrative - Decrease. Alverno college ""launching the future"": an intersectional approach to boosting recruitment and retention of women in stem undergraduate education","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, minority_serving_institution_of_higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23M0119_080/
FPDS,DC-98,American Geophysical Union,80NSSC22K0223,P00006,2025-09-05,2021-11-09,,1414711.87,1414711.87,"Reason for modification: terminate for convenience (complete or partial). termination for convenience agreement - agu, aas, asgsr to NASA: supporting early career researchers post pandemic - support for smd directorate.","minority_owned_business, nonprofit, other_minority_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC22K0223_080/
NASAGrants,DC-98,American University,80NSSC23M0024,P00003,2025-09-19,2023-01-26,,198655.21,197381.55,"Approved/ Awarded - Administrative | Administrative - Decrease, Administrative - Change Pop End Date. Modeling of exoplanet atmospheres and climates","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC23M0024_080/
FPDS,VA-11,Ares Technical Services Corporation,80GSFC25P0001,P00001,2025-09-24,2025-04-08,2025-05-31,0.00,0.00,"Reason for modification: terminate for convenience (complete or partial). smas iii phase-in - supports development of safety and mission assurance requirements and the independent surveillance, audit, review and assessment of design, development, test, and mission operations activities.","category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC25P0001_8000_-NONE-_-NONE-/
DOGE,MD-06,Autonomic Integra LLC,80GSFC23CA041,P00024,2026-01-07,2023-03-01,2026-02-28,11632022.47,9430597.18,"Status: FUNDING ONLY ACTION. Reported savings: $21,134,122.00. DOGE Action Date: 3/20/2025. The purpose of this contract is to acquire scientific support and related services for the giss facility in new york city, ny.","category_business, dot_certified_disadvantaged_business_enterprise, limited_liability_corporation, minority_owned_business, partnership_or_limited_liability_partnership, sba_certified_8a_joint_venture, self_certified_small_disadvanted_business, small_business, special_designations, subcontinent_asian_indian_american_owned_business, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-/
DOGE,MD-05,"B/W Color Prints, LLC",80NSSC25FA145,P00001,2025-06-27,2025-01-14,2025-03-31,10771.00,10771.00,Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. Printing services for inspire/strategic communications,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA145_8000_GS07F216BA_4732/
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0046,P00002,2025-03-20,2024-04-16,2025-01-22,226082.84,179082.90,"Status: Expired. Reported savings: $261,854.00. DOGE Action Date: 3/20/2025. Strategic planning, analysis, and programmatic support for.planetary sciences division.hq science mission directorate","category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000/
